"p1" "p3" "p4" "p6" "p13" "p16" "p19" "p21" "p23" "p25" "s18" "s19" "s20" "s22" "s23" "s25" "s27" "s29" "sA" "sB" "sC" "sD" "sE" "sF" "sG" "w22" "w23" "w25" "w27" "w29" "wA" "wB" "wC" "wD"
"136" 0 0 4.1256 0 7.1022 0 0 0 0 0 0 0 0 0 0 0 0 43.407 0 15.633 19.35 4.1974 17.5744 0 0 0.9311 0 0 0.1612 0 0.0759 0.2734 0.0489 0.2894
"137" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4.1288 0 0 4.1974 0 0 0 0 0 0 0 0 0 0 0 0
"138" 0 0 0 0 0 0 3.0134 0 0 0 0 0 0 0 0 0 0 0 0 7.8165 0 0 0 0 0 0 0 0 0 0 0 0 0.0489 0
"139" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7.8165 0 0 0 0 0 0 0 0 0 0 0 0 0.242 0
"140" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.1392 0 0
"141" 0 0 0 0 0 0 0 0 14.5908 0 0 0 0 0 0 0 0 0 4.1288 7.8165 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"142" 604.4838 192.2051 485.9613 33.516 28.658 0 15.067 252.3942 0 0 0 0 21.7152 19.4064 0 37.992 0 0 0 0 0 0 17.5744 0 0 0 0 0 0 0 0 0 0 0
"143" 0 0 0 0 0 0 0 0 0 0 10.9002 0 0 0 0 0 23.9514 0 0 0 38.7 4.1974 0 48.2998 0 0.9311 0 0 0.4836 0.5259 0 0 0 0
"144" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9.675 0 0 0 0 0 0 0 0 0 0 0 0 0
"145" 0 0 0 0 9.5942 0 0 0 4.8636 3.072 0 17.86 0 0 0 188.6936 0 0 4.1288 15.633 9.675 8.3948 0 1214.6212 0 0 0 0 0.4836 0 0.1009 0.1392 0.0489 0
"146" 0 0 0 0 0 0 6.0268 0 0 0 0 0 0 0 0 0 0 0 0 7.8165 0 4.1974 0 0 0 0 0 0 0.3224 0.6971 0.025 0 0 0
"147" 0 0 0 0 0 0 0 0 0 0 109.002 83.22 130.5928 351.741 431.3963 0 0 0 4.1288 7.8165 9.675 8.3948 0 0 0 12.2112 1.0209 0.8228 0 0 0.025 0 0 0
